geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
fji,Fiji,16.48477,16.30133,16.08229,15.81723,15.64076,15.35743,15.01134,14.65769,14.17818,14.07746,13.71183,13.36415,13.15171,12.92516,12.48083,13.89579,15.29673,17.00988,18.70496,20.3647,22.2334,22.03366,21.72368,21.67593,20.06467,18.62327,18.19853,17.76044,17.28303,17.58074,16.73686,16.28389,16.01474
fra,France,2.66038,2.52474,2.34815,2.29364,2.04733,1.8778,1.74633,1.5496,1.51236,1.26839,1.10828,1.11725,1.22735,1.14179,0.96398,0.92814,0.66545,0.62058,0.62937,0.55728,0.52433,0.48013,0.43865,0.43327,0.38321,0.39964,0.33393,0.27375,0.28397,0.27467,0.3489,0.32422,0.28529
gab,Gabon,3.93669,3.82852,3.7163,3.33619,3.13337,2.89003,2.72201,2.6541,2.4666,2.26268,2.17403,2.06638,1.94838,1.80481,1.6557,1.55996,1.46933,1.35673,1.32238,1.2359,1.1734,1.13761,1.10583,1.08693,1.06741,1.04119,0.99442,0.94734,0.90742,0.94252,0.88018,0.84874,0.82736
gbr,UK,0.72971,0.69989,0.58971,0.56576,0.53795,0.48326,0.43916,0.37553,0.36721,0.39694,0.34902,0.33974,0.29814,0.34815,0.33187,0.33088,0.34476,0.33695,0.29958,0.3254,0.34955,0.36789,0.37026,0.37879,0.32941,0.38135,0.36639,0.35525,0.39872,0.31272,0.28192,0.24817,0.26445
geo,Georgia,30.9221,31.21529,31.30642,31.65859,31.36815,32.51495,32.36713,31.67734,30.95906,29.7145,31.70298,28.34025,28.81096,27.90005,28.57552,28.75395,28.37695,25.70842,23.95428,22.59918,23.4779,22.85071,21.91204,21.47307,20.61066,20.82994,19.96852,17.71643,17.79827,17.51774,16.72294,16.36705,16.01497
gha,Ghana,0.32467,0.86577,1.69558,2.35049,2.90574,3.6726,4.42691,6.20272,6.67217,6.76443,7.25381,7.75934,8.27943,8.8083,9.34471,9.88271,10.3335,10.77571,11.20462,11.6448,11.28764,10.85687,10.40078,10.29458,10.2164,9.6947,9.1622,8.78155,8.31003,8.18577,7.72081,7.48364,7.17396
gin,Guinea,37.55643,37.32696,37.08569,36.85738,36.55985,36.23785,35.88641,35.47149,34.92841,34.43547,33.77252,33.07388,31.63501,30.73622,29.84675,28.88092,27.86437,27.00314,25.86656,24.98662,23.99408,23.11887,22.08959,21.11562,20.11247,19.27725,18.39401,17.44067,16.58001,16.65758,15.8202,15.36751,15.06434
gmb,Gambia,19.02051,18.88136,18.71624,18.52098,18.34081,18.20065,17.91497,17.67454,17.35709,16.9908,16.56678,16.22558,15.87396,15.48045,15.13651,14.82116,14.56741,14.25648,13.87557,13.47579,13.13928,12.90458,12.14583,11.45955,10.83962,10.22889,9.54205,8.87466,8.22275,7.88116,7.20887,6.78614,6.0203
gnb,Guinea-Bissau,35.98947,35.64159,35.4692,35.28296,35.03992,34.72018,34.27262,34.11615,33.99791,33.69287,33.34632,32.99054,32.64328,32.1314,31.613,31.1061,30.58686,30.15794,29.53906,28.93603,28.40147,27.95955,27.49624,26.93265,26.44794,25.97741,25.42423,24.61036,24.09238,23.39334,21.90856,20.1725,19.87642
gnq,Equatorial Guinea,19.4322,18.98383,18.39661,17.60517,16.73558,15.34677,13.98307,12.80494,11.50597,10.19247,9.01314,8.14131,7.40054,6.71681,6.25712,5.92337,5.70853,5.52156,5.54642,5.48669,5.43729,5.45376,5.58231,5.67846,5.93428,6.12121,6.11857,6.14998,6.23573,6.38279,6.00776,5.81511,5.79559
grc,Greece,11.59251,12.0327,12.04536,12.28791,12.34462,11.99608,11.92202,11.26338,10.03568,9.61699,8.33283,7.8245,7.85817,6.28532,6.31596,6.5392,6.35994,5.88078,5.84151,5.66966,5.46873,5.0152,4.88896,4.69784,4.37323,3.91107,3.927,3.65963,3.1561,3.00814,3.03383,3.08896,3.50523
gtm,Guatemala,11.6609,11.68897,11.71189,11.70612,11.71526,11.82381,11.91873,11.56316,13.25909,15.09962,14.9968,14.8526,14.6651,12.40362,12.95482,13.46438,13.26534,13.04628,12.80294,12.55473,11.65073,13.65567,9.84216,10.06618,9.69955,8.41476,9.64205,9.69668,8.37748,8.82353,8.49543,6.48258,7.70361
guy,Guyana,11.6155,11.42434,11.26314,11.02563,10.74505,10.4605,10.13007,9.81785,9.49892,9.19423,8.88333,8.58186,8.27416,7.97762,7.69461,7.38666,7.09698,6.81796,6.53083,6.25323,5.97984,5.70492,5.42779,5.15784,4.91417,4.69394,4.42926,4.18216,3.32601,3.48485,3.26019,3.14346,2.89471
hnd,Honduras,10.67157,10.69299,10.69484,10.70617,10.68934,10.66362,10.61187,10.52071,10.4449,10.31171,10.13414,9.94986,9.74108,9.46234,9.32682,8.86192,7.92491,8.00973,8.5727,10.13843,10.94698,10.4683,9.25781,8.28766,9.62874,8.60672,8.90125,9.47945,9.06998,6.41447,6.44996,6.18935,5.84086
hrv,Croatia,9.41985,9.29391,9.24545,8.91443,8.32647,7.89679,7.4843,6.20218,5.65627,4.91949,4.77714,4.74244,4.02293,3.15118,2.4307,2.20136,2.25191,2.14338,2.33386,2.61236,2.68917,2.22594,1.56028,1.4454,1.87965,1.36391,1.26794,1.17369,1.11049,0.88369,1.47624,1.07239,0.8528
hti,Haiti,26.25188,26.13711,26.2809,26.15889,26.71101,26.63367,25.93993,25.75405,25.36321,24.71031,24.78122,24.70564,25.12072,24.96152,24.64324,24.6349,24.16233,24.09633,23.72768,23.01862,22.94254,23.27028,22.86119,22.94134,22.64199,22.17352,21.87143,21.83365,21.6027,21.60723,20.68366,20.1785,20.11252
hun,Hungary,1.23318,1.24192,1.14059,1.09769,1.11889,1.08098,1.18729,0.78989,0.76686,0.68965,0.68423,0.62526,0.50564,0.39878,0.44297,0.5008,0.45164,0.34442,0.40823,0.3326,0.41868,0.38545,0.34257,0.32065,0.2704,0.30108,0.28433,0.22866,0.19915,0.22129,0.28744,0.35609,0.33947
idn,Indonesia,17.73639,17.74018,17.77468,17.81825,17.80001,17.48104,18.51608,19.53636,18.30534,20.13126,19.36692,17.55135,20.33213,18.45045,18.02711,16.94355,17.29106,17.26282,17.6032,17.8287,17.03899,16.64812,16.05326,15.43776,14.32003,13.78827,13.44141,13.35527,13.05155,13.88688,14.21449,13.83499,13.68078
ind,India,18.62231,18.65456,18.66324,18.67395,18.64311,18.59321,18.50892,18.40883,18.23453,18.02062,18.09844,18.17589,18.23203,18.2489,18.21005,18.14337,18.01264,17.8635,17.71521,17.51474,17.49849,17.44167,17.14437,16.79585,16.41845,15.9918,15.80455,15.55784,15.28087,15.804,15.47257,15.00904,17.07038
irl,Ireland,1.93652,1.5738,1.67176,1.53517,1.33885,1.07773,1.26719,1.3348,1.28215,1.2827,1.04555,0.89742,0.98851,0.73601,0.71199,0.56375,0.76304,0.77202,0.90999,0.86724,0.68737,0.88112,0.86219,0.78043,0.78001,0.80493,0.62991,0.55485,0.49946,0.59814,1.0994,0.99982,0.98692
irn,Iran,6.29627,6.18307,6.08197,5.99691,5.92281,5.65032,6.26829,6.93846,7.49634,8.087,8.80674,9.45271,10.18415,10.87949,11.73174,10.23569,10.01402,8.51787,8.7674,7.66861,6.58876,6.79424,5.12271,4.84436,5.04198,5.23798,5.25446,5.02902,4.97309,4.29183,3.865,3.42356,3.3474
irq,Iraq,4.00992,4.05175,4.00376,3.9425,3.90258,3.84943,3.7577,3.54345,3.40102,3.18173,2.91117,2.772,2.50149,1.98494,2.01883,1.8195,1.59058,1.48727,1.16713,1.23756,1.35422,1.26974,0.87155,3.81767,4.44017,4.40449,3.97796,3.5356,4.15631,4.78934,4.7179,4.57987,4.52949
isl,Iceland,2.48357,2.55658,2.78202,1.74291,0.98018,0.54402,0.39593,0.29193,0.20333,0.39137,0.23007,0.31968,0.21321,0.1473,0.10322,0.07195,0.06586,0.06074,0.0561,0.05306,0.04943,0.04624,0.05989,0.07715,0.10095,0.13143,0.17203,0.09786,0.10918,0.11158,0.11042,0.1061,0.10566
